pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3
24,468,Kachchh,2018,1.3345841780539448E9,6.087421137213533E8
24,469,Banas Kantha,2018,2.392395402092008E9,5.666266179767524E8
24,470,Patan,2018,4.9782154901549864E8,2.5038309648184627E8
24,471,Mahesana,2018,7.644632692208716E8,4.5943057269253504E8
24,472,Sabar Kantha,2018,1.4278485057746477E9,5.548676471444039E8
24,473,Gandhinagar,2018,5.127606401983264E8,3.572768301169196E8
24,474,Ahmadabad,2018,9.23675437351023E8,1.2654929435129213E9
24,475,Surendranagar,2018,8.917933620045111E8,3.7660882509441274E8
24,476,Rajkot,2018,1.8222051547320921E9,1.0926391481208057E9
24,477,Jamnagar,2018,1.4078324654285884E9,4.890401668704873E8
24,478,Porbandar,2018,3.407014047010456E8,1.2641388189619261E8
24,479,Junagadh,2018,1.4479868752629251E9,5.834209647212834E8
24,480,Amreli,2018,8.09819401763737E8,4.004232363967095E8
24,481,Bhavnagar,2018,1.175172757379837E9,5.921310011530982E8
24,482,Anand,2018,6.659611540955422E8,3.64229283508191E8
24,483,Kheda,2018,8.338120802595282E8,3.636102505975394E8
24,484,Panch Mahals,2018,1.2628372253014286E9,4.7841640773180926E8
24,485,Dohad,2018,9.035913924745138E8,3.223472519167002E8
24,486,Vadodara,2018,1.1958087026685853E9,8.617573732239088E8
24,487,Narmada,2018,2.625633625449832E8,1.1024120251066919E8
24,488,Bharuch,2018,4.378295536996668E8,4.1686723014446235E8
24,489,The Dangs,2018,1.503121306555032E8,6.121130718733697E7
24,490,Navsari,2018,5.0948262064743423E8,3.096098743864962E8
24,491,Valsad,2018,8.505604646619179E8,4.724467205968086E8
24,492,Surat,2018,7.830219463949527E8,1.162564836381254E9
24,493,Tapi,2018,4.0989454231759334E8,2.059546597415002E8
21,370,Bargarh,2018,4.2136618387827057E8,2.3403393441444716E8
21,371,Jharsuguda,2018,2.1313704369285387E8,1.6136799360952294E8
21,372,Sambalpur,2018,4.374238287742226E8,2.665028528939978E8
21,373,Debagarh,2018,1.6966647375407472E8,6.519918582057359E7
21,374,Sundargarh,2018,9.385396471403455E8,4.8064023610699254E8
21,375,Kendujhar,2018,8.821216922412148E8,3.1939526704858994E8
21,376,Mayurbhanj,2018,1.1318510434440677E9,4.1159805956151795E8
21,377,Baleshwar,2018,8.757582475637027E8,3.447884290976944E8
21,378,Bhadrak,2018,4.691911826721354E8,1.930444944684647E8
21,379,Kendrapara,2018,3.8761435745914143E8,1.6215095607650957E8
21,380,Jagatsinghapur,2018,3.685231319702704E8,1.7533633969098908E8
21,381,Cuttack,2018,5.93999400808318E8,4.214865615658574E8
21,382,Jajapur,2018,4.982771212384192E8,2.818142494782829E8
21,383,Dhenkanal,2018,3.7208222336642164E8,2.0476771698302466E8
21,384,Anugul,2018,5.094144230285194E8,2.864448270589655E8
21,385,Nayagarh,2018,2.516832120438074E8,1.3574213868572798E8
21,386,Khordha,2018,5.055698117969094E8,4.8461571202634656E8
21,387,Puri,2018,4.7021383493510264E8,2.4307993903572816E8
21,388,Ganjam,2018,6.544249941527036E8,4.378183099387483E8
21,389,Gajapati,2018,2.5533315655422792E8,7.120554557820636E7
21,390,Kandhamal,2018,3.987401864053501E8,1.0038290366503231E8
21,391,Baudh,2018,1.704288823350988E8,6.6285176301556885E7
21,392,Subarnapur,2018,1.8835154260467222E8,8.769081611809509E7
21,393,Balangir,2018,4.897125482605546E8,2.5556953747061658E8
21,394,Nuapada,2018,2.5474615096157706E8,1.0931028824369863E8
21,395,Kalahandi,2018,4.945743925011221E8,2.4408242083478475E8
21,396,Rayagada,2018,3.0687967720783925E8,1.2661763465765138E8
21,397,Nabarangapur,2018,4.182835908427697E8,1.7713293076696056E8
21,398,Koraput,2018,4.2546464353705966E8,1.9389893310706416E8
21,399,Malkangiri,2018,3.2021707647868794E8,8.869928151092154E7
22,400,Koriya,2018,4.470438632863512E8,1.5121918667815986E8
22,401,Surguja,2018,1.755761363131181E9,6.273885234841126E8
22,402,Jashpur,2018,5.894127276188229E8,2.1896116359913057E8
22,403,Raigarh,2018,5.349938050887409E8,3.731455553092091E8
22,404,Korba,2018,5.1739527302907854E8,2.7705234192800623E8
22,405,Janjgir - Champa,2018,4.938408462308824E8,3.2349914885084915E8
22,406,Bilaspur,2018,1.018716592858153E9,5.559589518130362E8
22,407,Kabeerdham,2018,3.661844421760685E8,1.495672480242907E8
22,408,Rajnandgaon,2018,5.934853715197035E8,3.571538333002561E8
22,409,Durg,2018,9.575200644428118E8,7.7106100029041E8
22,410,Raipur,2018,1.1440668984982734E9,9.283319363205628E8
22,411,Mahasamund,2018,3.867272604083602E8,2.226618699867464E8
22,412,Dhamtari,2018,2.691995261889974E8,1.9429925091034177E8
22,413,Uttar Bastar Kanker,2018,4.931480264049632E8,1.9184202002146453E8
22,414,Bastar,2018,9.002183138872472E8,2.739971923761661E8
22,415,Narayanpur,2018,1.2898716132919733E8,2.527814439927902E7
22,416,Dakshin Bastar Dantewada,2018,4.5697265236888415E8,1.0084307252009879E8
22,417,Bijapur,2018,2.5072820869331342E8,4.860262606113319E7
23,418,Sheopur,2018,2.4012757298075974E8,9.532659917929706E7
23,419,Morena,2018,4.569683020262332E8,2.5598660511325634E8
23,420,Bhind,2018,3.8239320131937045E8,2.1417478261471945E8
23,421,Gwalior,2018,4.0327712659139854E8,2.9701215800957674E8
23,422,Datia,2018,2.477853208961512E8,1.1740002722957394E8
23,423,Shivpuri,2018,7.880024614969516E8,2.3809892659043047E8
23,424,Tikamgarh,2018,6.439008019228247E8,2.4911887129239586E8
23,425,Chhatarpur,2018,7.37226215850069E8,3.447091953613982E8
23,426,Panna,2018,3.8579562457793725E8,1.7365948326587042E8
23,427,Sagar,2018,7.976289513823185E8,3.4917198447087044E8
23,428,Damoh,2018,4.2438053148555833E8,1.9739983362120977E8
23,429,Satna,2018,8.617508030432523E8,4.0561237777111256E8
23,430,Rewa,2018,1.0104543699410809E9,4.30770815333653E8
23,431,Umaria,2018,3.554864430334596E8,1.2051230671593732E8
23,432,Neemuch,2018,3.741430485041246E8,1.7131044373858714E8
23,433,Mandsaur,2018,5.624146515459559E8,2.4728022683178374E8
23,434,Ratlam,2018,6.231563456159123E8,2.423048581052381E8
23,435,Ujjain,2018,6.510449347786572E8,3.400569101163391E8
23,436,Shajapur,2018,5.745215924037223E8,2.724950436478851E8
23,437,Dewas,2018,5.953348770290248E8,2.985151732840147E8
23,438,Dhar,2018,8.642605541474684E8,3.776286648949754E8
23,439,Indore,2018,5.698548534291321E8,6.408698083857806E8
23,440,Khargone (West Nimar),2018,6.642125661760224E8,2.949676399514316E8
23,441,Barwani,2018,6.49979878144064E8,1.7693821926320013E8
23,442,Rajgarh,2018,5.898841746385264E8,2.566964096902645E8
23,443,Vidisha,2018,4.5301675792069167E8,2.3362943037194055E8
23,444,Bhopal,2018,4.5078996706043583E8,4.631902421249956E8
23,445,Sehore,2018,5.922983509358073E8,2.687427767250848E8
23,446,Raisen,2018,4.6279716062872994E8,2.4808131205497864E8
23,447,Betul,2018,8.242991781375495E8,2.8086383696801627E8
23,448,Harda,2018,1.9091754999515548E8,1.0247186739309637E8
23,449,Hoshangabad,2018,4.014223263259535E8,2.2270024448086953E8
23,450,Katni,2018,4.6244242841136634E8,2.3103109949347588E8
23,451,Jabalpur,2018,5.2526039297097504E8,4.5563122537473136E8
23,452,Narsimhapur,2018,4.2089153737607604E8,1.9653035076187843E8
23,453,Dindori,2018,3.901996951418697E8,1.1973604590406533E8
23,454,Mandla,2018,5.349922404182329E8,1.9282879040973902E8
23,455,Chhindwara,2018,1.08275779636628E9,3.932620255456739E8
23,456,Seoni,2018,5.741945407519991E8,2.703193824552944E8
23,457,Balaghat,2018,6.03568145014633E8,3.3312743182446885E8
23,458,Guna,2018,4.7478597909803164E8,2.010252695098453E8
23,459,Ashoknagar,2018,3.203531841096853E8,1.243066733445659E8
23,460,Shahdol,2018,5.885264380510072E8,2.275999012420101E8
23,461,Anuppur,2018,4.244647046299287E8,1.7003966687523177E8
