pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3
24,468,Kachchh,2020,1.406350214369543E9,6.947226458248954E8
24,469,Banas Kantha,2020,2.556700327362343E9,6.788523755606741E8
24,470,Patan,2020,5.3362496040187645E8,2.775199358036359E8
24,471,Mahesana,2020,7.911734428624963E8,5.3057679906656057E8
24,472,Sabar Kantha,2020,1.4698111322561047E9,6.228118577679095E8
24,473,Gandhinagar,2020,5.346816210206993E8,4.107847943619243E8
24,474,Ahmadabad,2020,9.84739011372312E8,1.4209290932166262E9
24,475,Surendranagar,2020,9.579311124354701E8,4.1481982812581825E8
24,476,Rajkot,2020,1.9613672946653268E9,1.25692741337564E9
24,477,Jamnagar,2020,1.492216592728807E9,5.566264734089822E8
24,478,Porbandar,2020,3.5092014087566245E8,1.4019547277711415E8
24,479,Junagadh,2020,1.5415548733910882E9,6.67826238564214E8
24,480,Amreli,2020,8.654800651829963E8,4.343678333455635E8
24,481,Bhavnagar,2020,1.2407783793585703E9,6.307986753069668E8
24,482,Anand,2020,6.959065420371592E8,4.0608732877379084E8
24,483,Kheda,2020,8.832895191814722E8,4.132087278729359E8
24,484,Panch Mahals,2020,1.2834294511588652E9,5.2696764479745823E8
24,485,Dohad,2020,9.404533822703353E8,3.537759134537022E8
24,486,Vadodara,2020,1.2479402232705078E9,9.544148847155855E8
24,487,Narmada,2020,2.81598431765648E8,1.2286568470275296E8
24,488,Bharuch,2020,4.640608051912455E8,4.612255234938354E8
24,489,The Dangs,2020,1.6045598699664518E8,6.788870224324661E7
24,490,Navsari,2020,5.281311581668849E8,3.486485616952907E8
24,491,Valsad,2020,8.174047397329541E8,5.481651057201055E8
24,492,Surat,2020,8.161860480369676E8,1.2866747707883418E9
24,493,Tapi,2020,4.3062351730682063E8,2.2299697119161007E8
21,370,Bargarh,2020,4.447153694300629E8,2.4883515809198913E8
21,371,Jharsuguda,2020,2.2315441410284925E8,1.7225995528861552E8
21,372,Sambalpur,2020,4.502601917917356E8,2.8359779763458645E8
21,373,Debagarh,2020,1.733610704448108E8,6.432834929793936E7
21,374,Sundargarh,2020,9.729527016169001E8,4.9371292742582804E8
21,375,Kendujhar,2020,9.155087225199257E8,3.1950326232008785E8
21,376,Mayurbhanj,2020,1.1817063350563874E9,4.456766180957828E8
21,377,Baleshwar,2020,9.139084586804496E8,4.191510108667505E8
21,378,Bhadrak,2020,4.966066513092563E8,2.1744580061419547E8
21,379,Kendrapara,2020,4.2006931101517314E8,1.896636603893058E8
21,380,Jagatsinghapur,2020,3.980891771155983E8,2.0095388058553594E8
21,381,Cuttack,2020,6.351201896592603E8,4.302673826709108E8
21,382,Jajapur,2020,5.2679504555292577E8,3.1138129089837956E8
21,383,Dhenkanal,2020,3.9440036674893534E8,2.217867145814911E8
21,384,Anugul,2020,5.362677519103975E8,3.081790544621304E8
21,385,Nayagarh,2020,2.784707351829082E8,1.5016050538706067E8
21,386,Khordha,2020,5.404658996161803E8,5.210425236484795E8
21,387,Puri,2020,5.1461333717936575E8,2.617885565050172E8
21,388,Ganjam,2020,7.261590102321345E8,4.906166184304106E8
21,389,Gajapati,2020,2.912908203168543E8,8.358635406449193E7
21,390,Kandhamal,2020,4.2169789020916814E8,1.0471872918698595E8
21,391,Baudh,2020,1.8823474989283854E8,7.058451600960943E7
21,392,Subarnapur,2020,2.0750009638070616E8,9.540069698947224E7
21,393,Balangir,2020,5.544377446817325E8,2.704738228615205E8
21,394,Nuapada,2020,2.7561357218960255E8,1.1210004078970535E8
21,395,Kalahandi,2020,5.39392964593279E8,2.4835777263146105E8
21,396,Rayagada,2020,3.453535027547947E8,1.3610776854431194E8
21,397,Nabarangapur,2020,4.381981500350261E8,1.7859334208466733E8
21,398,Koraput,2020,4.511851469596508E8,2.0154733427614766E8
21,399,Malkangiri,2020,3.396957303424976E8,8.99800279931572E7
22,400,Koriya,2020,4.640123083295114E8,1.5656062854648158E8
22,401,Surguja,2020,1.8322426082342713E9,6.548969655881708E8
22,402,Jashpur,2020,6.228421682755708E8,2.1877156842415673E8
22,403,Raigarh,2020,5.617840899013785E8,3.861457259461351E8
22,404,Korba,2020,5.367505598833908E8,2.8665074690323895E8
22,405,Janjgir - Champa,2020,5.162503971672603E8,3.3448130269022286E8
22,406,Bilaspur,2020,1.0544707056349647E9,5.668907775944405E8
22,407,Kabeerdham,2020,3.8542980889611673E8,1.599329069719949E8
22,408,Rajnandgaon,2020,6.448447813960094E8,3.802882212524811E8
22,409,Durg,2020,9.957765135016161E8,8.099222647618856E8
22,410,Raipur,2020,1.2099115374401653E9,9.822358864055223E8
22,411,Mahasamund,2020,3.9049307511078435E8,2.211619095202521E8
22,412,Dhamtari,2020,2.771600792329006E8,1.988511023590512E8
22,413,Uttar Bastar Kanker,2020,5.339687190548062E8,1.9820591081298128E8
22,414,Bastar,2020,9.50327185551869E8,2.9610080067531425E8
22,415,Narayanpur,2020,1.3839356835140547E8,2.7533090675900966E7
22,416,Dakshin Bastar Dantewada,2020,4.86829550501237E8,1.0556152808459313E8
22,417,Bijapur,2020,2.6523453625079656E8,5.247847831732778E7
23,418,Sheopur,2020,2.651181250309207E8,1.0290626377653341E8
23,419,Morena,2020,4.943296528506625E8,2.6864271858941567E8
23,420,Bhind,2020,4.074369235342332E8,2.1289740744291946E8
23,421,Gwalior,2020,4.3287548986652106E8,3.082542391172384E8
23,422,Datia,2020,2.6542316238553917E8,1.095081965263941E8
23,423,Shivpuri,2020,7.86067071881878E8,2.3764987623981386E8
23,424,Tikamgarh,2020,6.660418806584483E8,2.4829280020147783E8
23,425,Chhatarpur,2020,7.921064155935395E8,3.5124358898564404E8
23,426,Panna,2020,4.072329922399739E8,1.7893952708472887E8
23,427,Sagar,2020,8.124730247971276E8,3.594004558945081E8
23,428,Damoh,2020,4.6486236447819763E8,2.067841071692926E8
23,429,Satna,2020,8.992170174852984E8,4.23141961497763E8
23,430,Rewa,2020,1.0688786344837967E9,4.515003815519713E8
23,431,Umaria,2020,3.726709623526464E8,1.2529434611537261E8
23,432,Neemuch,2020,4.142692662305837E8,1.871215160081629E8
23,433,Mandsaur,2020,6.605659587696003E8,2.8352545470130646E8
23,434,Ratlam,2020,7.015069823234298E8,2.713566918069956E8
23,435,Ujjain,2020,7.02928704014587E8,3.772105419327464E8
23,436,Shajapur,2020,6.56146228280013E8,3.013455771053112E8
23,437,Dewas,2020,6.281055664065411E8,3.3142365109333396E8
23,438,Dhar,2020,9.395772580321963E8,4.401331578693027E8
23,439,Indore,2020,6.079618557506626E8,7.157007869510531E8
23,440,Khargone (West Nimar),2020,7.15301520694899E8,3.3137825558244646E8
23,441,Barwani,2020,7.009380721804459E8,2.0451533028851616E8
23,442,Rajgarh,2020,7.075931875327358E8,2.916389473214095E8
23,443,Vidisha,2020,4.644145155276922E8,2.2967877315087047E8
23,444,Bhopal,2020,4.686168247784925E8,4.9187774765548354E8
23,445,Sehore,2020,6.307809968135417E8,2.932630839192488E8
23,446,Raisen,2020,4.756893319425093E8,2.638334096346111E8
23,447,Betul,2020,8.786870268658125E8,2.8913477473356223E8
23,448,Harda,2020,2.045657083968329E8,1.0999979420770532E8
23,449,Hoshangabad,2020,4.196196463214766E8,2.352794118755116E8
23,450,Katni,2020,4.958559773338158E8,2.423532687493536E8
23,451,Jabalpur,2020,5.639940568174787E8,4.609681799380151E8
23,452,Narsimhapur,2020,4.4751497574107677E8,2.1848464767938733E8
23,453,Dindori,2020,4.0905986253100497E8,1.2067229903986697E8
23,454,Mandla,2020,5.574168551443206E8,2.0119151809436008E8
23,455,Chhindwara,2020,1.1541214601648479E9,4.2547854054272324E8
23,456,Seoni,2020,6.105302317249615E8,2.870969476818428E8
23,457,Balaghat,2020,6.279655988970896E8,3.6191386482780147E8
23,458,Guna,2020,5.26746053476869E8,2.1129111122062433E8
23,459,Ashoknagar,2020,3.2976831625742954E8,1.2171872942678681E8
23,460,Shahdol,2020,6.001063147410502E8,2.2802076714193758E8
23,461,Anuppur,2020,4.376242580534964E8,1.7442797193819368E8
23,462,Sidhi,2020,7.168056249918466E8,2.284238716913797E8
23,463,Singrauli,2020,9.907928169375423E8,3.019772818273607E8
23,464,Jhabua,2020,6.793143143811008E8,1.762457904403986E8
23,465,Alirajpur,2020,5.888662751165059E8,1.4056654657344145E8
23,466,Khandwa (East Nimar),2020,4.424127990491614E8,2.177454648215507E8
23,467,Burhanpur,2020,2.0822754936742115E8,1.079860724069829E8
02,023,Chamba,2020,3.758032705029565E8,1.538039940439054E8
02,024,Kangra,2020,1.0180636830293275E9,5.698623386895951E8
02,025,Lahul & Spiti,2020,7.121128745698148E7,4.256215700728361E7
02,026,Kullu,2020,4.205222006923753E8,1.7460767542592528E8
02,027,Mandi,2020,8.952262785285884E8,3.689774056795152E8
02,028,Hamirpur,2020,3.065963304209559E8,2.0018433519857836E8
02,029,Una,2020,3.538693773055798E8,1.938457213649157E8
02,030,Bilaspur,2020,3.0842744317835855E8,1.378210218841521E8
02,031,Solan,2020,4.1644935564383036E8,2.8087787690104014E8
02,032,Sirmaur,2020,4.2379376624425924E8,1.5456480774614102E8
02,033,Shimla,2020,8.598609202653224E8,3.011860857230724E8
02,034,Kinnaur,2020,1.1837476623185891E8,4.449165454281333E7
03,035,Gurdaspur,2020,9.037692163892041E8,5.850541186306704E8
03,036,Kapurthala,2020,3.4791831414822316E8,2.7549283507914233E8
03,037,Jalandhar,2020,7.695095624501071E8,7.225206677649246E8
03,038,Hoshiarpur,2020,7.488888570539792E8,5.35684779638852E8
03,039,Shahid Bhagat Singh Nagar,2020,3.1180003069389164E8,2.332214136061889E8
03,040,Fatehgarh Sahib,2020,2.7255390252281326E8,1.9952078130613568E8
03,041,Ludhiana,2020,1.0596376940036844E9,1.2041390139093802E9
03,042,Moga,2020,4.8002285166296715E8,3.1496085864137274E8
03,043,Firozpur,2020,1.006399150304251E9,5.438357617865658E8
03,044,Muktsar,2020,4.584333830820544E8,2.6733617074870235E8
03,045,Faridkot,2020,2.937360938872319E8,1.937681259705295E8
03,046,Bathinda,2020,7.025228441662647E8,4.989488549822919E8
03,047,Mansa,2020,3.959348706397021E8,2.5793021532663032E8
03,048,Patiala,2020,6.982323188664905E8,5.575424107550886E8
03,049,Amritsar,2020,6.699147150676432E8,6.039427781536877E8
03,050,Tarn Taran,2020,5.372973197298177E8,3.000523951588104E8
03,051,Rupnagar,2020,3.106105024148437E8,2.285957119699129E8
03,052,Sahibzada Ajit Singh Nagar,2020,3.5959328521033627E8,4.5098346228400946E8
03,053,Sangrur,2020,7.762313597787837E8,5.365252092774611E8
03,054,Barnala,2020,2.9229932941147363E8,2.071844407734796E8
04,055,Chandigarh,2020,8.226733190720358E7,1.7191587954984182E8
05,056,Uttarkashi,2020,2.4073376321878833E8,8.355893922344688E7
05,057,Chamoli,2020,3.1118541071652883E8,1.3850858002882785E8
05,058,Rudraprayag,2020,1.4946888697086397E8,5.7357026117897466E7
05,059,Tehri Garhwal,2020,3.8486646862687653E8,1.3710828130048695E8
05,060,Dehradun,2020,5.43929486091816E8,5.3493849854800963E8
05,061,Garhwal,2020,3.905904366405484E8,1.684456023750563E8
05,062,Pithoragarh,2020,3.297457664980392E8,1.1181083945774959E8
05,063,Bageshwar,2020,1.9837093413952205E8,7.122405290109153E7
05,064,Almora,2020,3.752442592888289E8,1.2542825607336804E8
05,065,Champawat,2020,1.6539251140636107E8,5.189552825651519E7
05,066,Nainital,2020,4.5204237489305675E8,2.2021773087819389E8
05,067,Udham Singh Nagar,2020,5.3049952946479017E8,4.170175096463706E8
05,068,Hardwar,2020,3.491900506033587E8,4.271541573093031E8
06,069,Panchkula,2020,1.7652601305143994E8,1.8467478066728562E8
06,070,Ambala,2020,3.6312262335018384E8,3.029162368872572E8
06,071,Yamunanagar,2020,3.740483162073913E8,3.0492123687710106E8
06,072,Kurukshetra,2020,4.1490013418392694E8,2.438076176592194E8
06,073,Kaithal,2020,4.9051095999461544E8,2.41365881970935E8
06,074,Karnal,2020,5.900721785437999E8,3.77568568481562E8
06,075,Panipat,2020,3.402301882395067E8,3.2916297936090946E8
06,076,Sonipat,2020,4.543982127179764E8,4.087794007023042E8
06,077,Jind,2020,5.2524981916637945E8,3.078640270822151E8
06,078,Fatehabad,2020,5.706959164496018E8,2.822451749131081E8
06,079,Sirsa,2020,7.740468284542394E8,3.9733753018435955E8
06,080,Hisar,2020,9.057528476514055E8,5.0820103501659364E8
06,081,Bhiwani,2020,8.073272551180302E8,4.494638819638454E8
06,082,Rohtak,2020,2.797562489336512E8,2.6392934678341806E8
06,083,Jhajjar,2020,3.486371175557445E8,2.9557907001229507E8
06,084,Mahendragarh,2020,4.2899064987581944E8,2.52266507058206E8
06,085,Rewari,2020,3.694127877395451E8,2.8602280524737275E8
06,086,Gurgaon,2020,4.842759352668658E8,8.030213900173911E8
06,087,Mewat,2020,3.1111357602145386E8,1.9374500430584702E8
06,088,Faridabad,2020,3.123240435209635E8,5.103469768351585E8
06,089,Palwal,2020,3.252206862958027E8,2.5277692664341938E8
07,090,North West,2020,2.3343193335196462E8,5.901168130028844E8
07,091,North,2020,4.336017286213999E7,1.5017804839691865E8
07,092,North East,2020,4.06065945131434E7,1.9456453643586898E8
07,093,East,2020,5.488347876546417E7,2.3240117511058939E8
07,094,New Delhi,2020,2.731590207005208E7,5.603214938193932E7
07,095,Central,2020,1.3733960366076902E7,5.88231207997017E7
07,096,West,2020,1.0781004588045341E8,3.9906222056961405E8
07,097,South West,2020,2.060113352678883E8,4.187535088772321E8
07,098,South,2020,1.7513071335885802E8,4.6111008386286426E8
08,099,Ganganagar,2020,1.1567549870435011E9,5.294298488127431E8
08,100,Hanumangarh,2020,1.2328943188018725E9,4.729509389916672E8
08,101,Bikaner,2020,2.5579066659874115E9,5.155577258021969E8
08,102,Churu,2020,1.8728397780149362E9,4.5056844968814E8
08,103,Jhunjhunun,2020,1.4333053589396749E9,5.997976800747194E8
08,104,Alwar,2020,1.6566564347164752E9,8.734571651397256E8
08,105,Bharatpur,2020,7.356687204330652E8,4.436193041933449E8
08,106,Dhaulpur,2020,3.3593329098327196E8,1.802707073249793E8
08,107,Karauli,2020,5.394914308700866E8,2.4306279541468003E8
08,108,Sawai Madhopur,2020,5.871780855597006E8,2.4961149268607333E8
08,109,Dausa,2020,8.058802444706651E8,3.1823978898910874E8
08,110,Jaipur,2020,2.5900283282954435E9,1.837791276638648E9
08,111,Sikar,2020,1.8031536078329196E9,7.131949951357709E8
08,112,Nagaur,2020,2.678770769384137E9,7.139818055014979E8
08,113,Jodhpur,2020,3.5352244031007185E9,8.993542267531301E8
08,114,Jaisalmer,2020,1.1860728465597692E9,1.70611287026951E8
08,115,Barmer,2020,4.348896235255072E9,5.2349380530593884E8
08,116,Jalor,2020,1.6243847455896635E9,4.194086953853212E8
08,117,Sirohi,2020,6.900386679496975E8,2.52646285159928E8
08,118,Pali,2020,1.1554898752597039E9,5.777253165575545E8
