pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3
24,468,Kachchh,2016,1.2083747218064494E9,6.39697132029138E8
24,469,Banas Kantha,2016,2.2294706042749314E9,5.374707365724376E8
24,470,Patan,2016,4.606514415916475E8,2.384777965732991E8
24,471,Mahesana,2016,7.095263253643612E8,4.4264348865228224E8
24,472,Sabar Kantha,2016,1.3542404503987014E9,5.264404137392667E8
24,473,Gandhinagar,2016,4.7914997594580656E8,3.451669141440127E8
24,474,Ahmadabad,2016,8.60077304769355E8,1.236750425574398E9
24,475,Surendranagar,2016,8.132243367378829E8,3.6942626914310676E8
24,476,Rajkot,2016,1.6622001069601102E9,1.0569876458792968E9
24,477,Jamnagar,2016,1.252413025058923E9,5.2543428633639437E8
24,478,Porbandar,2016,3.0629301914267015E8,1.3266210753619607E8
24,479,Junagadh,2016,1.3253961173826025E9,6.108763789726732E8
24,480,Amreli,2016,7.658252898892348E8,4.109959993158346E8
24,481,Bhavnagar,2016,1.1010458915152843E9,6.008253427747406E8
24,482,Anand,2016,6.351427344970242E8,3.7777369927306837E8
24,483,Kheda,2016,7.789565762231042E8,3.521795066515487E8
24,484,Panch Mahals,2016,1.2083831907231274E9,4.5744359590850574E8
24,485,Dohad,2016,8.704079145455002E8,2.8739725869396013E8
24,486,Vadodara,2016,1.125109322595757E9,8.565927012918456E8
24,487,Narmada,2016,2.46417395326551E8,1.0986740953467956E8
24,488,Bharuch,2016,4.15406764161669E8,4.3112183533979744E8
24,489,The Dangs,2016,1.2765475331217064E8,5.38390687836236E7
24,490,Navsari,2016,4.85987654859329E8,3.177216049560458E8
24,491,Valsad,2016,7.565186400030675E8,4.670969634738903E8
24,492,Surat,2016,7.31096376565246E8,1.1876225721593122E9
24,493,Tapi,2016,3.884331520831303E8,1.9452338251597136E8
21,370,Bargarh,2016,3.69256611552382E8,2.2079019306294033E8
21,371,Jharsuguda,2016,1.9663556233055684E8,1.5954493063193303E8
21,372,Sambalpur,2016,3.975605464335478E8,2.6173340777558717E8
21,373,Debagarh,2016,1.509297751756549E8,5.7822099904777706E7
21,374,Sundargarh,2016,8.646838223868911E8,4.594338642028079E8
21,375,Kendujhar,2016,8.029652833227136E8,2.9085833260095006E8
21,376,Mayurbhanj,2016,1.0350061383269571E9,4.031054456039545E8
21,377,Baleshwar,2016,8.104935714110751E8,3.7999181410643303E8
21,378,Bhadrak,2016,4.231288509389784E8,1.9850703681309018E8
21,379,Kendrapara,2016,3.59228725684781E8,1.6557300919882002E8
21,380,Jagatsinghapur,2016,3.4725831174024206E8,1.9041010833878413E8
21,381,Cuttack,2016,5.55309793949238E8,3.9299933684122396E8
21,382,Jajapur,2016,4.6180003596613425E8,2.7036924844397897E8
21,383,Dhenkanal,2016,3.396485733795572E8,1.8265207532237715E8
21,384,Anugul,2016,4.62239302337385E8,2.7695684714050746E8
21,385,Nayagarh,2016,2.221769919323261E8,1.231750475750814E8
21,386,Khordha,2016,4.678613926331035E8,4.427462657002893E8
21,387,Puri,2016,4.379685880738244E8,2.3896209407200012E8
21,388,Ganjam,2016,5.759278004393802E8,4.123090894751116E8
21,389,Gajapati,2016,2.1598837762863818E8,7.098818008373854E7
21,390,Kandhamal,2016,3.553698895602825E8,9.733537324926078E7
21,391,Baudh,2016,1.5112574956545648E8,6.12759544330849E7
21,392,Subarnapur,2016,1.6412010599615124E8,8.369873901106422E7
21,393,Balangir,2016,4.333813014288909E8,2.3577312296516344E8
21,394,Nuapada,2016,2.2805916382398516E8,1.0518421379072565E8
21,395,Kalahandi,2016,4.4725513097228104E8,2.360222674357179E8
21,396,Rayagada,2016,2.670074643115578E8,1.1836735857236095E8
21,397,Nabarangapur,2016,3.766704741871209E8,1.6294852072764087E8
21,398,Koraput,2016,3.735292252052007E8,1.8133539973613256E8
21,399,Malkangiri,2016,3.020148334452014E8,8.102527734033418E7
22,400,Koriya,2016,4.1037124982110155E8,1.4224827516508716E8
22,401,Surguja,2016,1.604538598857429E9,5.733464346515312E8
22,402,Jashpur,2016,5.452361137403606E8,1.9971427601204142E8
22,403,Raigarh,2016,4.915722897397517E8,3.570734354350546E8
22,404,Korba,2016,4.749742069029142E8,2.6325073455471647E8
22,405,Janjgir - Champa,2016,4.4840854479178154E8,2.987582062019281E8
22,406,Bilaspur,2016,9.013708192498926E8,5.045306409982396E8
22,407,Kabeerdham,2016,3.171512778564989E8,1.3819995851168814E8
22,408,Rajnandgaon,2016,5.205764713221508E8,3.530528398332502E8
22,409,Durg,2016,8.553621032607228E8,7.320909127754815E8
22,410,Raipur,2016,1.0116198286332607E9,8.826031016233178E8
22,411,Mahasamund,2016,3.3887808915672493E8,2.0574262004786697E8
22,412,Dhamtari,2016,2.3454916328480393E8,1.8937747505093086E8
22,413,Uttar Bastar Kanker,2016,4.443914603678424E8,1.897295779788114E8
22,414,Bastar,2016,8.200431373587586E8,2.6113849707717237E8
22,415,Narayanpur,2016,1.1759271949425551E8,2.5124248207528573E7
22,416,Dakshin Bastar Dantewada,2016,4.34222861635321E8,9.766298488027854E7
22,417,Bijapur,2016,2.362841779015855E8,4.654253916930693E7
23,418,Sheopur,2016,2.2799006094486064E8,8.78079151563988E7
23,419,Morena,2016,4.377195753323223E8,2.2232724577787167E8
23,420,Bhind,2016,3.65438194191188E8,1.810647927131673E8
23,421,Gwalior,2016,3.8057464713122314E8,2.745584033683554E8
23,422,Datia,2016,2.387563633955231E8,1.0436752038973852E8
23,423,Shivpuri,2016,7.200817142701558E8,2.09874924043443E8
23,424,Tikamgarh,2016,6.476355108531673E8,2.3397192063338965E8
23,425,Chhatarpur,2016,7.278508094611713E8,3.1162251176687986E8
23,426,Panna,2016,3.4248610010526186E8,1.6035017780820024E8
23,427,Sagar,2016,7.312140993122627E8,3.1853633325846446E8
23,428,Damoh,2016,3.9584542132864964E8,1.6419004217389768E8
23,429,Satna,2016,7.94374097271178E8,3.7261908586470413E8
23,430,Rewa,2016,9.387276006141734E8,3.8770518253780115E8
23,431,Umaria,2016,3.187487643926011E8,1.1030003204487284E8
23,432,Neemuch,2016,3.360524682338005E8,1.6021818613583523E8
23,433,Mandsaur,2016,5.132963901214117E8,2.386360095997088E8
23,434,Ratlam,2016,5.69716802663814E8,2.3341715294015965E8
23,435,Ujjain,2016,6.105971889905794E8,3.2218787154443E8
23,436,Shajapur,2016,5.2099190935021824E8,2.4451429701507148E8
23,437,Dewas,2016,5.544745105038947E8,2.782586086291126E8
23,438,Dhar,2016,7.884088769723536E8,3.626976938047434E8
23,439,Indore,2016,5.346927746732115E8,6.335078011888607E8
23,440,Khargone (West Nimar),2016,6.206333536291819E8,2.755692727021322E8
23,441,Barwani,2016,5.971345162727941E8,1.6833408072217986E8
23,442,Rajgarh,2016,5.2149150688397676E8,2.233791507105473E8
23,443,Vidisha,2016,4.005595356066445E8,2.1121797974490717E8
23,444,Bhopal,2016,4.0783205085593224E8,4.5352517681021386E8
23,445,Sehore,2016,5.341439308227444E8,2.540322573288268E8
23,446,Raisen,2016,4.162415451717181E8,2.3030907085275578E8
23,447,Betul,2016,7.554472604700329E8,2.6583772927734444E8
23,448,Harda,2016,1.820460599285003E8,1.051772653803406E8
23,449,Hoshangabad,2016,3.629219545648668E8,2.1223839287775928E8
23,450,Katni,2016,4.0646859879590994E8,2.1844613255227625E8
23,451,Jabalpur,2016,4.881593594811312E8,4.408722512124916E8
23,452,Narsimhapur,2016,3.963856332378639E8,1.8297432779964292E8
23,453,Dindori,2016,3.5183498970114505E8,1.0925892185406065E8
23,454,Mandla,2016,4.892378172585326E8,1.8479603841087723E8
23,455,Chhindwara,2016,9.983767296914867E8,3.5460795072278553E8
23,456,Seoni,2016,5.140273467752488E8,2.6147094410718566E8
23,457,Balaghat,2016,5.622217549395909E8,3.3354793049695456E8
23,458,Guna,2016,4.351869472413565E8,1.7803545347695845E8
23,459,Ashoknagar,2016,2.884005174779412E8,1.0963903817165291E8
23,460,Shahdol,2016,5.3553548720173883E8,2.0417309924018824E8
23,461,Anuppur,2016,3.8421109530014175E8,1.5871159884554347E8
23,462,Sidhi,2016,6.568213912556448E8,1.95789052150901E8
23,463,Singrauli,2016,8.837814972800512E8,2.684699042314086E8
23,464,Jhabua,2016,5.57958858284754E8,1.4355761403485453E8
23,465,Alirajpur,2016,4.983146807100606E8,1.127661877527671E8
23,466,Khandwa (East Nimar),2016,3.8231317363276273E8,1.8943636279242942E8
23,467,Burhanpur,2016,1.7637412355047485E8,9.62606595258491E7
02,023,Chamba,2016,3.5038588449075145E8,1.534268969188322E8
02,024,Kangra,2016,9.581136329407396E8,5.2746448912572646E8
02,025,Lahul & Spiti,2016,1.4358954455249307E8,2.1122888716325942E8
02,026,Kullu,2016,4.006689371144148E8,2.2741980531971887E8
02,027,Mandi,2016,8.319333501186924E8,3.46284073877871E8
02,028,Hamirpur,2016,2.9134861673885566E8,1.7664596823982236E8
02,029,Una,2016,3.279696426332184E8,1.687328107670817E8
02,030,Bilaspur,2016,2.9328799322262555E8,1.2774906197862138E8
02,031,Solan,2016,3.8429532044687104E8,2.584555297392576E8
02,032,Sirmaur,2016,3.789226070219515E8,1.4157845209983313E8
02,033,Shimla,2016,7.756852443017887E8,2.859734213909357E8
