pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3
24,468,Kachchh,2021,1.4531343842635798E9,7.201033088281109E8
24,469,Banas Kantha,2021,2.6280132063363094E9,6.721001403123028E8
24,470,Patan,2021,5.551114940202014E8,2.7077979487485003E8
24,471,Mahesana,2021,8.184050215084178E8,4.945941651313082E8
24,472,Sabar Kantha,2021,1.5154973218779528E9,5.972537169689434E8
24,473,Gandhinagar,2021,5.553728526159122E8,3.982335424634415E8
24,474,Ahmadabad,2021,1.0133812040769839E9,1.4477024404925792E9
24,475,Surendranagar,2021,9.612667398912683E8,4.220813367441552E8
24,476,Rajkot,2021,1.9913119897251189E9,1.3914919607954857E9
24,477,Jamnagar,2021,1.503569651361049E9,5.738397176872923E8
24,478,Porbandar,2021,3.5345759142893314E8,1.437886904633954E8
24,479,Junagadh,2021,1.5550127329635677E9,7.035831173728471E8
24,480,Amreli,2021,8.75302595496427E8,4.270703758521267E8
24,481,Bhavnagar,2021,1.2854601429466186E9,6.219923679450008E8
24,482,Anand,2021,7.170189630848844E8,3.9439844054263014E8
24,483,Kheda,2021,9.068592821788793E8,3.992574958758601E8
24,484,Panch Mahals,2021,1.307024102387473E9,5.295425732046259E8
24,485,Dohad,2021,9.528766691104854E8,3.567862761263476E8
24,486,Vadodara,2021,1.282815691444401E9,9.864960867129319E8
24,487,Narmada,2021,2.897881569923062E8,1.232358042483469E8
24,488,Bharuch,2021,4.822879156498621E8,4.951135888520095E8
24,489,The Dangs,2021,1.6361862973776427E8,6.877179995515393E7
24,490,Navsari,2021,5.414053469982996E8,3.563909279793872E8
24,491,Valsad,2021,8.413536334519109E8,5.610738971254092E8
24,492,Surat,2021,8.328645721143652E8,1.3879864312009351E9
24,493,Tapi,2021,4.4098418864669114E8,2.2786669588455397E8
21,370,Bargarh,2021,4.6531181018711317E8,2.6215401943255505E8
21,371,Jharsuguda,2021,2.3198959126248085E8,1.7859506597570178E8
21,372,Sambalpur,2021,4.6691012123001295E8,2.925400276469845E8
21,373,Debagarh,2021,1.7809301213679916E8,7.079188552231368E7
21,374,Sundargarh,2021,9.96354698096714E8,5.3079327230258036E8
21,375,Kendujhar,2021,9.300942851402612E8,3.653931443462352E8
21,376,Mayurbhanj,2021,1.2294999895125575E9,4.992987519341467E8
21,377,Baleshwar,2021,9.29146210811083E8,4.424951642551324E8
21,378,Bhadrak,2021,5.088790001292393E8,2.299755608650714E8
21,379,Kendrapara,2021,4.2502295822981006E8,2.0135690893746954E8
21,380,Jagatsinghapur,2021,4.0035525776205957E8,2.1460737003013614E8
21,381,Cuttack,2021,6.444906661324831E8,4.8562844004777926E8
