pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,mean_height_m
1,0,,2016,2.2764709968220954e9,1.9125396266363435e9,0.8401335353299945
1,0,,2017,2.4143040985560045e9,2.2364536694120407e9,0.9263347027202016
1,0,,2018,1.8644604681079412e9,1.1243172744953475e9,0.6030255367314423
1,0,,2019,1.9114258510627244e9,1.3688175084567637e9,0.7161237814669722
1,0,,2020,1.9793013610882273e9,1.4617759916121922e9,0.7385312920759587
1,0,,2021,1.6391807129737844e9,8.15233422135145e8,0.4973420048703215
1,0,,2022,1.605284118661937e9,6.898982511361248e8,0.4297670693404606
1,0,,2023,1.602818701613199e9,7.656215134650346e8,0.477671936753954
1,1,Kupwara,2016,2.5207953435391775e8,1.5643792735426578e8,0.6205895601767818
1,1,Kupwara,2017,2.5453354541265324e8,1.587860829627942e8,0.6238316552946609
1,1,Kupwara,2018,2.6600301777972198e8,1.5853120320551416e8,0.5959752055775337
1,1,Kupwara,2019,2.676904276245596e8,1.664909608835987e8,0.6219533599352499
1,1,Kupwara,2020,2.7431486285405946e8,1.6893850504828817e8,0.615856185445433
1,1,Kupwara,2021,2.813623444407284e8,1.755066523614036e8,0.6237744880547642
1,1,Kupwara,2022,2.831656828161075e8,1.6182802827441305e8,0.5714959053830928
1,1,Kupwara,2023,2.880274402541743e8,1.6585360653897798e8,0.5758257143576941
1,2,Badgam,2016,2.4118716190819547e8,2.4707260426163298e8,1.024401971924516
1,2,Badgam,2017,2.4605568763213468e8,2.3185902768467525e8,0.9423030612131831
1,2,Badgam,2018,2.5318363503931144e8,2.1656022390633112e8,0.8553484267366102
1,2,Badgam,2019,2.6191542796834022e8,2.3599038878901678e8,0.9010175178284755
1,2,Badgam,2020,2.6234215463362056e8,2.5389516204274207e8,0.9678016192148939
1,2,Badgam,2021,2.7720364468913525e8,2.5450089234476858e8,0.9181008158466811
1,2,Badgam,2022,2.788116326577206e8,2.399801980860024e8,0.860725199298305
1,2,Badgam,2023,2.8924799434260106e8,2.5322539029452637e8,0.8754611794977304
1,3,Leh(Ladakh),2016,4.9472114959365606e8,4.1358437603959477e8,0.8359949364996752
